document	label
여러명의 갓난아기가 한 곳에 옹기종기 모여 있는 것을 본 꿈	0
손님을 초대하여 함께 술을 먹는 꿈	0
집 안으로 뱀이 들어오는 꿈	1
백사(白蛇)가 끝까지 자기의 뒤를 따라오는 꿈	1
백사(白蛇)가 나타난 꿈	1
음침한 곳에 도마뱀이 우글거리는 꿈	1
전신을 감고 있는 뱀을 제압하여 죽인 꿈	1
뱀에게 발목을 물린 꿈	1
머리가 여러 개 달린 뱀이 물 속에 있는 꿈	1
뱀이 방 안으로 들어가서 사람으로 변한 꿈	1
이무기가 칼 찬 사람의 주위를 에워싸고 있는 꿈	1
연못 속에 뱀이 우글거린 꿈	1
큰 구렁이 주위에 작은 뱀들이 우글거린 꿈	1
구렁이가 허물을 벗고 사라지는 것을 본 꿈	1
큰 구렁이나 독사를 죽인 꿈	1
큰 구렁이를 죽여 피를 본 꿈	1
큰 구렁이가 방안에 들어와 있는 꿈	1
조상이 집 안으로 말을 끌고 들어온 꿈	1
말굽소리가 점점 가까이 들려오는 꿈	1
말한테 물린 꿈	1
백마가 공중으로 날아가는 꿈	1
예쁜 조랑말을 타고 뛰어가는 꿈	1
모자를 쓰고 말을 탄 꿈	1
자기가 말을 타고 사람들 앞을 지나가는데, 그들이 우러러보거나 엎드려 있는 꿈	1
말이 두 뒷발을 쳐들어보이는 꿈	1
남녀가 말을 타고 초원을 달리는 꿈	1
어린 양 한 마리가 집 안으로 들어온 꿈	1
양을 타고 초원을 달린 꿈	1
큰 양 한마리를 끌고 집 안으로 들어온 꿈	1
많은 양들이 떼를 지어 집 안으로 우르르 몰려들어온 꿈	1
양떼를 몰고 다닌 꿈	1
평화롭게 풀을 뜯고 있는 양을 본 꿈	1
양이 많은 새끼를 낳는 꿈	1
원숭이가 나무 위에 올라가서 바나나를 따먹는 꿈	1
원숭이가 서로 끌어안고 키스를 하고 있는 꿈	1
몸 빛깔이 하얀 원숭이를 본 꿈	1
원숭이를 타고 높은 산으로 올라간 꿈	1
많은 사람이 모인 자리에서 원숭이가 재주를 부린 꿈	1
원숭이가 이 나무 저 나무로 옮겨다니면서 과일을 따먹는 꿈	1
원숭이의 귀가 떨어져 나간 꿈	1
원숭이가 높은 곳으로 올라가는 것을 본 꿈	1
수탉이 목청을 돋우며 울어대는 꿈	1
수탉의 커다란 벼슬이 매우 위엄 있게 보인 꿈	1
산꼭대기에서 수탉이 힘차게 울어대는 꿈	1
수탉이 달을 보고 길게 울음소리를 소리높여 뽑아낸 꿈	1
암탉이 병아리를 품고 있는 꿈	1
닭이 자기 집의 지붕 위에서 크게 우는 꿈	1
닭이 나무에 오르거나 황새가 나무에 앉아 있는 꿈	1
닭이 봉황새로 변한 꿈	1
닭이나 오리 등을 잡아먹는 꿈	1
상대방은 쌀밥을 먹고 자기는 잡곡밥을 먹은 꿈	0
밥맛이 없거나 식사를 중단한 꿈	0
밥상에 밥은 없고 반찬만 즐비한 꿈	0
썩어서 심한 냄새가 나는 음식을 먹은 꿈	0
사랑하는 사람과 중국집에서 음식을 먹은 꿈	0
음식점을 아무리 찾아 헤매도 끝내 찾지 못한 꿈	0
자장면이나 국수, 라면 등을 먹은 꿈	0
맛있게 잔뜩 먹은 냉면을 토해내는 꿈	0
라면을 먹는데, 라면은 없고 만두만 있던 꿈	1
국물이 전혀 없는 우동을 먹는 꿈	0
빵이나 떡을 먹고 체한 꿈	0
과일이나 과자 등을 바라보기만 하고 먹지 않은 꿈	0
껌을 씹는 꿈	0
딱딱하게 굳은 빵을 먹는 꿈	0
빵이나 떡을 불에 구워 먹은 꿈	0
사탕이나 카라멜을 먹은 꿈	0
소금물이나 간장에 세수를 하는 꿈	0
소금을 얻거나 소금을 가지고 집으로 들어오는 꿈	0
소금이 들판에 산더미처럼 쌓인 것을 본 꿈	0
술에 취해서 길 위에 누운 꿈	0
잔칫집에서 술에 취해 쓰러진 꿈	0
남에게 술을 따라 준 꿈	0
술을 마시며 신나게 놀았던 꿈	0
술이 취해 우물이나 구덩이에 빠진 꿈	0
남이 따라주는 술을 자기가 받아 마신 꿈	0
술에 취해 몸을 제대로 가눌 수 없었던 꿈	0
상대방이 주는 담배를 피운 꿈	0
꿀이나 엿, 혹은 감주를 마신 꿈	0
음식 상 옆에 파란 똥이 있었던 꿈	0
색깔이 탁하고 붉은 소량의 지저분한 대변을 만진 꿈	0
똥물이 흐르는 것을 본 꿈	0
대변을 밟거나 대변 색갈이 검었던 꿈	0
대변을 시원하게 보지 못하여 꺼름칙하게 느낀 꿈	0
대변을 그릇이나 항아리에 담은 꿈	0
대변의 냄새를 맡았는데 역겹다고 생각한 꿈	0
