document	label
하고있는 사업이 성공을 거두고 숨기고 있던 무엇인가를 만천하에 공개할 일이 생긴다.	0
어떤 일의 제일 중요한 일을 맡아 하거나 또는 그 일을 감독, 관리하게 된다.	0
멀리 떨어져 있는 사람의 소식을 듣거나 사진, 편지 등을 받게 된다.	0
직계가족이나 가까운 사람과 싸울 일이 생기며 부모에게 불효한 일까지 겹친다.	0
오래 떨어져 있던 형제, 자매를 만나거나 어떤 소식을 듣게 된다.	0
가까운 사람 중 누군가가 위험에 직면하게 되고 그 위험을 처리해주게 된다.	0
질병에 걸리거나 가까운 사람이 괴로움에 시달리게 된다.	0
경쟁자의 사업체나 하는 일의 중심부에 타격을 주어 자기의 하는 일이 이들을 본다.	0
자기 소유의 물건을 잃어버리거나 남에게 일거리를 빼앗기게 된다.	0
뜻하지 않은 많은 재물을 얻게 된다.	0
적은 돈을 얻지만 그 돈을 이용하여 큰 재물을 만들 수 있다.	0
사업을 일으키거나 재물을 소유하며 경쟁, 재판 등의 시비가 있으나 승리한다.	0
대학입학, 고시합격, 권리확보 등이 뜻대로 성사된다.	0
따분하고 답답한 일에 종사하게 된다.	0
이것이 태몽이라면 재물이 많은 자식을 낳겠지만 그 자식으로 인해서 마음고생을 한다.	0
재물이 생기며 사업이 번창한다. 연구하는 직업을 가진 사람은 좋은 결실을 맺게 된다.	0
자신의 작품 등을 제 자에게 칭찬 받거나 누군가에게 물질적인 보답을 받게 된다.	0
뜻하지 않은 재물이 들어온다.	0
재산이 많은 사람의 도움을 받아 경제적으로는 풍족하지만 심적 부담을 느끼게 된다. 돼지가 옆에서 따라오면 하는 일마다 실패가 없으며 남이 부러워할 정도로 순탄한 길을 걷게 된다.	0
직계가족, 일가친척 중에 자식을 낳은 사람이 있으면 그 자손의 앞날은 밝다.	0
부동산이나 증권 등에 투자한 돈이 몇 배로 불어날 조짐이 있다.	0
상대하는 사람의 겉과 속이 다를 수 있다. 돼지를 차에 싣고 오거나 등에 지거나 몰고 오는 꿈	0
무슨 일을 하는데 시작은 잘 했으면서도 결과가 신통치 않다.	0
재물을 잃거나 다른 사람에게 주게 된다.	0
힘들고 어려운 일이나, 적의 침입을 막을 수 있다.	0
사업상 장부를 위조해 세금의 일부를 급한 곳에 활용할 수도 있다.	0
경쟁상대가 우세해지거나 동정, 실의 등으로 매사에 좌절하게 된다.	0
직계가족 중에서 이별을 하거나 자손들이 제각기 다른 사업에 손을 대게 된다.	0
하는 일이 번창하거나 축하금을 받을 일이 생긴다.	0
논문, 작품 등에 좋은 평가가 내려져서 많은 사람들로부터 축하를 받게 된다.	0
재물이 생기게 된다.	0
여러 작품을 유명인에 의해서 평가 받게 된다.	0
직계가족 중의 한 사람이 가까운 시일 내에 돈을 가져온다.	0
여러 방면으로 자기의 발전을 위해서 연구를 한다.	0
어떤 기업체에서 새로운 사업을 진행시킨다.	0
사회적으로 파업이 일어나거나 어떤 기관에서 사소한 일로 소송 사건이 일어난다.	0
어떤 사업을 계획성 있게 적극적으로 밀고 나간다.	0
학문 연구를 깊이 있게 공부한다.	0
자기가 기억하고 있는 장소나 유명한 곳을 가보게 된다.	0
훗날의 불길한 소식을 전해 듣게 된다.	0
자기의 주장을 내세워 기성 관념을 타파할 수 있다.	0
하고 있는 모든 일이 암담하게 느껴지고 미개척 분야에 종사하게 된다.	0
자기 분수에 맞지 않는 일을 시작하여 항상 불안하고 초조하다.	0
질병에 걸려 신음하거나 생활에 불편을 느끼게 된다.	0
사업 기반을 닦거나 일을 착수하게 된다.	0
고위층의 압력으로 자기 뜻대로 일을 진행시키지 못한다.	0
여러 방면으로 일을 진전시킨다.	0
어떤 기관에 부탁한 일이 풀리지 않아 고민하게 된다.	0
생소한 일을 전하게 되거나 처음 만나는 사람과 대화를 나누게 된다.	0
장해물이 없어지고 자기 소원을 성취하게 된다.	0
자기의 정당성을 남 앞에 주장하지만 뜻대로 이루어지지 않는다.	0
자기가 소원한 일이나 계획한 것이 중도에 포기하게 된다 강을 건너지 못하고 있는데 사람들이 뗏목을 놓아준 꿈	0
많은 지식을 갖고 있는 사람과 서로 이야기를 주고받는다.	0
여러 협조 기관을 통해서 일을 추진 시킨다.	0
여러 방면으로 모든 일이 순리대로 풀린다.	0
자기가 소원했던 일이 뜻대로 이루어지지 않는다.	0
어떤 기관을 통해서 부탁한 일이 이루어지지 않는다.	0
어떤 기관의 우두머리나 협조자를 만나게 된다.	0
가장 빠른 방면으로 목적을 달성하게 된다.	0
세인의 관심을 한 몸에 받거나 자기 신변에 관한 일을 타인에 의해서 듣게 된다.	0
자기 작품이나 일거리가 어떤 단체에 의해서 보류된 채 발표되지 않는다.	0
어떤 협조자나 유리한 방도에 의해서 일을 진행시켜 나간다.	0
강대한 세력이나 단체를 자기 마음대로 움직일 수 있는 실력자가 된다.	0
사회적으로 큰 업적을 이루거나 신분이 고귀해진다.	0
정치가, 사업가로서 큰 세력을 얻게 된다.	0
자기와 뜻을 같이 한 사람을 만나게 된다.	0
목적한 일이 자기 뜻대로 쉽게 이루어지지 않는다.	0
자기가 하고 있는 일이 점차적으로 번창하기 시작한다.	0
어떤 사람에 관해서 알고 싶어하거나 남에게 청탁할 일이 생긴다.	0
국가나 사회적으로 권력을 행사해서 어떤 이념이나 사상 전파를 한다.	0
자서전을 쓰거나 역사책을 감명 깊게 읽게 된다.	0
문화 소설을 쓰거나 문화 공보 활동에 종사한다.	0
외근 관계 부서에서 근무하게 된다.	0
고고학적 연구 성과를 나타낸다.	0
남의 신상 문제를 알아보거나 대화 내용이 진지함을 알 수 있다.	0
